ZATTITUDEW,ZATTITUDEX,ZATTITUDEY,ZATTITUDEZ,ZGRAVITYX,ZGRAVITYY,ZGRAVITYZ,ZROTATIONRATEX,ZROTATIONRATEY,ZROTATIONRATEZ,ZTIMESTAMP,ZUSERACCELERATIONX,ZUSERACCELERATIONY,ZUSERACCELERATIONZ,ZLABEL
-0.533890247344971,-0.313341647386551,-0.579151749610901,0.530435204505920,0.950821816921234,0.279824852943420,-0.132800519466400,-0.980887591838837,1.167788147926331,0.053525634109974,1494420602.325068950653076,0.068390369415283,-0.112565144896507,0.209149748086929,balanced
-0.531179547309875,-0.315187424421310,-0.587022066116333,0.523364424705505,0.953544020652771,0.279610693454742,-0.112123966217041,-0.525000751018524,0.820322275161743,0.107321485877037,1494420602.344722986221313,0.085728168487549,-0.052589252591133,0.191905409097672,balanced
-0.529057741165161,-0.317313671112060,-0.590730309486389,0.520045876502991,0.955096244812012,0.278659224510193,-0.100699469447136,-0.149792879819870,0.453107804059982,0.052620690315962,1494420602.364377021789551,0.085833668708801,-0.055165365338326,0.174623519182205,balanced
-0.528127968311310,-0.317958265542984,-0.591922640800476,0.519240856170654,0.955415666103363,0.278855532407761,-0.097060255706310,-0.004117563366890,0.101551346480846,-0.022082841023803,1494420602.384030103683472,0.058577537536621,-0.043463379144669,0.140451595187187,balanced
-0.527187347412109,-0.318067520856857,-0.591351926326752,0.520777821540833,0.954791545867920,0.280563592910767,-0.098271906375885,0.220562815666199,-0.026447631418705,-0.127710476517677,1494420602.403651952743530,0.014072835445404,-0.028773546218872,0.158701598644257,balanced
-0.525121510028839,-0.318883836269379,-0.589958786964417,0.523936152458191,0.953749656677246,0.283295959234238,-0.100523456931114,0.422398716211319,-0.020307978615165,-0.212197393178940,1494420602.423305988311768,-0.025522172451019,-0.041620939970016,0.138411283493042,balanced
-0.520148336887360,-0.320931434631348,-0.588764905929565,0.528965651988983,0.952013611793518,0.289008915424347,-0.100717797875404,0.717979490756989,0.256137460470200,-0.395682781934738,1494420602.442960023880005,0.027795016765594,-0.033501923084259,0.063566319644451,balanced
-0.513360500335693,-0.326134055852890,-0.585140407085419,0.536384463310242,0.950642406940460,0.292871773242950,-0.102494560182095,1.295552134513855,0.183657675981522,-0.308577477931976,1494420602.462613105773926,0.150666117668152,-0.025493800640106,0.020388931035995,balanced
-0.507508933544159,-0.332571297883987,-0.575867950916290,0.547911643981934,0.948955655097961,0.293483704328537,-0.115544870495796,1.851299285888672,-0.283638954162598,-0.195026651024818,1494420602.482264995574951,0.178719997406006,-0.046472609043121,0.029488585889339,balanced
-0.502246677875519,-0.339652955532074,-0.562167942523956,0.562451243400574,0.946770429611206,0.291204988956451,-0.137206152081490,2.252529144287109,-0.542150914669037,-0.174599945545197,1494420602.501888990402222,0.122826337814331,-0.077309414744377,0.076152257621288,balanced
-0.495772480964661,-0.347552984952927,-0.546344220638275,0.578726649284363,0.944001197814941,0.287753522396088,-0.161429837346077,2.525286436080933,-0.535620331764221,-0.198752149939537,1494420602.521543025970459,0.087198853492737,-0.095063015818596,0.131690844893456,balanced
-0.489389121532440,-0.356393247842789,-0.529456317424774,0.594271063804626,0.941808700561523,0.280451178550720,-0.185319721698761,2.499788045883179,-0.524769544601440,-0.031775414943695,1494420602.541196107864380,0.051998317241669,-0.127628684043884,0.188812404870987,balanced
-0.483935534954071,-0.364208906888962,-0.513652503490448,0.607716560363770,0.939820945262909,0.271802991628647,-0.207025960087776,2.162164211273193,-0.503235220909119,0.001901320181787,1494420602.560847997665405,0.024797976016998,-0.160916507244110,0.223565429449081,balanced
-0.478799432516098,-0.370742231607437,-0.500758469104767,0.618500113487244,0.938133955001831,0.264416009187698,-0.223582312464714,1.817749500274658,-0.326449513435364,-0.059657648205757,1494420602.580471992492676,0.022257804870605,-0.163544401526451,0.233137220144272,balanced
-0.473159044981003,-0.376331031322479,-0.489697277545929,0.628245234489441,0.936265766620636,0.259171098470688,-0.237143069505692,1.633583545684814,-0.256700813770294,-0.135709807276726,1494420602.600125074386597,0.046082019805908,-0.175074279308319,0.249083533883095,balanced
-0.469027668237686,-0.380300164222717,-0.480802029371262,0.635778486728668,0.934592247009277,0.254624575376511,-0.248402386903763,1.166885495185852,-0.248129159212112,-0.074859499931335,1494420602.619779109954834,0.045832872390747,-0.200969412922859,0.249437943100929,balanced
-0.465489417314529,-0.382743448019028,-0.474541842937469,0.641589403152466,0.932916700839996,0.252595990896225,-0.256634980440140,0.901699662208557,-0.180481135845184,-0.176421537995338,1494420602.639430999755859,0.033311665058136,-0.184786036610603,0.216626167297363,balanced
-0.460674345493317,-0.385091572999954,-0.468635767698288,0.647969126701355,0.930831849575043,0.252519398927689,-0.264169991016388,1.011792659759521,-0.130630761384964,-0.289982736110687,1494420602.659085035324097,0.031913101673126,-0.180116087198257,0.217104569077492,balanced
-0.455944508314133,-0.387490451335907,-0.463243991136551,0.653735935688019,0.929059982299805,0.252330213785172,-0.270512312650680,0.891033113002777,-0.081650964915752,-0.250336498022080,1494420602.678708076477051,0.035421192646027,-0.194813326001167,0.231740713119507,balanced
-0.451626449823380,-0.389536857604981,-0.458895742893219,0.658565998077393,0.927570343017578,0.252575963735580,-0.275351464748383,0.751627326011658,-0.046569406986237,-0.240036487579346,1494420602.698359966278076,0.041366875171661,-0.190941348671913,0.239472806453705,balanced
-0.447899788618088,-0.391396403312683,-0.455038547515869,0.662672281265259,0.926358461380005,0.252470135688782,-0.279497563838959,0.661530494689941,-0.033463194966316,-0.184899717569351,1494420602.718014001846313,0.044731795787811,-0.193294674158096,0.243325829505920,balanced
-0.444678694009781,-0.393160581588745,-0.451625943183899,0.666122913360596,0.925443410873413,0.252016514539719,-0.282917529344559,0.594074845314026,-0.013507863506675,-0.149113491177559,1494420602.737668037414551,0.048694849014282,-0.194030404090881,0.237607389688492,balanced
-0.441756457090378,-0.395075947046280,-0.448345065116882,0.669143497943878,0.924843668937683,0.250959664583206,-0.285803407430649,0.561178445816040,0.002530758269131,-0.103425636887550,1494420602.757320880889893,0.057067871093750,-0.194285899400711,0.230376824736595,balanced
-0.438916563987732,-0.397322863340378,-0.445074796676636,0.671859562397003,0.924591720104218,0.249272346496582,-0.288085937500000,0.561491250991821,0.032739527523518,-0.074384398758411,1494420602.776942968368530,0.076550424098969,-0.193131104111671,0.230925545096397,balanced
